gender,location_type,program_enrolled,financial_aid_status,part_time_work,career_alignment,family_support,stress_levels,internet_connectivity_issues,parents_education,ragging_experience,age,family_income,distance_to_institute,tenth_marks,attendance_rate,test_scores_avg,practical_skills_rating,backlogs,teaching_quality_rating,motivation_score,num_siblings,dropout
Male,Rural,Civil,Partial,No,Medium,Medium,High,Occasional Issues,Mixed,Yes,21,3349.0,0.77,86.0,33.8,47.2,60.5,0,8,3,1,Yes
Male,Semi-urban,Mechanical,No,Yes,Low,Medium,High,Occasional Issues,Both College,No,24,8712.0,24.7,83.2,49.5,55.5,63.8,1,7,5,2,Yes
Female,Rural,Plumbing,Partial,Yes,Medium,Medium,High,Occasional Issues,Both School,No,24,9216.0,44.44,71.6,53.0,43.6,50.1,1,8,5,3,Yes
Male,Urban,Welding,Partial,No,Medium,High,High,Frequent Issues,Both School,Yes,27,6178.0,4.6,87.7,56.9,35.0,51.5,0,4,2,1,Yes
Male,Semi-urban,Electrical,Partial,Yes,Medium,Low,High,No Issues,Mixed,No,24,5229.0,1.9,78.5,63.2,61.0,86.3,1,9,5,1,No
Male,Urban,Computer IT,No,Yes,High,High,Low,Occasional Issues,No,No,17,2757.0,14.7,60.7,84.0,46.6,54.8,6,6,10,1,Yes
Male,Urban,Electrical,Full,Yes,High,Low,High,Occasional Issues,Mixed,No,21,14871.0,12.6,71.5,79.4,70.3,82.3,4,8,7,1,No
Female,Urban,Welding,No,No,High,Low,High,Frequent Issues,Mixed,No,18,38669.0,3.3,91.9,91.0,73.6,79.1,4,6,9,3,Yes
Male,Rural,Plumbing,Full,No,Low,High,Low,Occasional Issues,Both College,No,19,2931.0,13.63,66.1,97.1,35.0,40.0,0,7,5,2,No
Male,Rural,Mechanical,No,Yes,Medium,Medium,Medium,Frequent Issues,Both School,No,22,3247.0,29.1,78.5,50.5,60.4,59.2,2,8,6,3,Yes
Female,Rural,Computer IT,Partial,No,Low,Medium,Low,No Issues,Mixed,No,19,13982.0,25.04,87.8,56.7,61.2,66.4,1,8,4,1,No
Male,Rural,Welding,Partial,No,Medium,Low,High,Occasional Issues,Mixed,No,22,9550.0,10.47,73.3,92.6,69.9,62.6,0,6,6,2,No
Female,Semi-urban,ECE,Partial,No,Low,Medium,Medium,Occasional Issues,No,No,19,4646.0,2.6,82.7,95.1,59.8,73.3,0,7,5,2,No
Female,Rural,Mechanical,No,Yes,Medium,High,Medium,No Issues,Both School,No,22,4731.0,16.75,71.9,28.2,90.0,100.0,1,10,8,3,No
Male,Semi-urban,Electrical,Full,No,High,Medium,Medium,No Issues,Mixed,No,25,2917.0,3.0,84.7,54.2,59.8,54.1,8,6,5,2,Yes
Male,Semi-urban,Civil,Partial,No,Medium,Medium,Low,Occasional Issues,Both School,No,19,11222.0,26.9,84.0,11.3,36.6,81.7,1,6,6,2,No
Male,Rural,Computer IT,Full,No,High,Medium,Low,No Issues,Both School,No,17,3489.0,6.64,88.4,93.4,79.0,71.9,0,8,8,1,No
Male,Rural,Electrical,Full,No,Medium,High,Low,Frequent Issues,No,No,18,11792.0,8.57,83.4,86.9,92.7,100.0,1,9,8,2,No
Female,Urban,Mechanical,Partial,Yes,Medium,Medium,Medium,Occasional Issues,Both School,No,18,8536.0,8.3,86.3,29.5,46.9,50.7,3,8,8,2,Yes
Female,Rural,Welding,Partial,No,High,Low,Medium,No Issues,Both School,Yes,19,16526.0,4.28,88.7,21.0,65.3,77.5,0,6,3,1,Yes
Male,Urban,Computer IT,No,Yes,Medium,Low,High,Frequent Issues,Both College,No,21,18546.0,14.9,87.5,76.8,52.9,78.8,0,8,5,5,No
Male,Urban,Mechanical,Full,Yes,Low,Low,Medium,Frequent Issues,Both School,No,19,2991.0,3.4,93.5,44.1,86.1,87.7,2,9,3,1,Yes
Female,Urban,Civil,No,No,High,Low,High,No Issues,Both School,Yes,21,4927.0,3.5,66.8,74.7,68.8,76.1,1,5,3,1,Yes
Male,Rural,Welding,No,Yes,Medium,Medium,High,Occasional Issues,Both School,No,22,7436.0,31.17,80.5,13.5,69.0,91.2,0,6,6,2,Yes
Male,Semi-urban,Plumbing,No,Yes,Medium,High,Low,Occasional Issues,Both School,No,18,5534.0,5.6,84.2,28.8,59.0,94.9,1,6,7,3,No
Male,Semi-urban,Electrical,Partial,Yes,Medium,Medium,Medium,Occasional Issues,Both School,No,20,5416.0,1.8,86.6,69.1,58.6,67.4,0,10,6,3,No
Male,Semi-urban,Mechanical,Partial,Yes,High,High,Medium,No Issues,Mixed,No,16,23829.0,5.8,88.1,77.5,65.5,69.1,0,7,8,2,No
Male,Rural,Computer IT,Partial,No,High,Medium,Low,No Issues,No,No,22,2756.0,18.07,93.8,43.7,45.1,44.1,2,8,6,4,Yes
Female,Rural,ECE,No,Yes,High,High,Medium,No Issues,Both School,No,20,7843.0,3.28,78.9,56.6,50.7,60.4,1,6,5,3,No
Female,Urban,Mechanical,Full,No,Low,Medium,Medium,No Issues,Both College,No,20,7876.0,2.8,66.0,53.9,39.9,68.3,0,6,4,2,No
Male,Rural,Computer IT,No,Yes,Low,Low,Medium,Occasional Issues,No,Yes,26,2937.0,9.56,72.8,21.5,71.4,79.3,0,7,1,1,Yes
Female,Urban,Civil,Partial,No,Medium,Medium,Low,Occasional Issues,Both School,No,22,38402.0,13.2,77.7,76.3,64.6,68.7,0,6,7,1,No
Female,Rural,Plumbing,Partial,No,Low,Medium,Low,Occasional Issues,Both School,No,17,3110.0,3.52,61.5,66.2,46.9,58.4,0,7,7,1,No
Male,Semi-urban,ECE,No,Yes,High,Medium,Low,No Issues,Mixed,No,21,2000.0,25.9,75.5,57.0,35.0,45.3,1,6,10,1,No
Male,Urban,Mechanical,Partial,No,Medium,Low,High,Frequent Issues,Both School,Yes,18,6330.0,0.5,75.6,58.2,35.0,40.0,0,6,1,1,Yes
Male,Urban,Computer IT,Partial,Yes,High,High,High,Occasional Issues,Both School,Yes,20,40668.0,31.4,85.7,38.7,79.1,100.0,9,10,6,1,Yes
Male,Rural,Welding,Partial,Yes,Medium,High,Low,Occasional Issues,No,No,16,4231.0,0.8,75.0,23.2,40.0,53.6,1,3,8,2,Yes
Female,Semi-urban,Computer IT,Partial,No,High,Medium,Medium,Occasional Issues,Both School,No,21,5218.0,8.2,97.0,85.3,78.6,81.6,0,7,8,3,No
Male,Rural,Electrical,No,Yes,High,Medium,High,Occasional Issues,Both College,No,22,5876.0,50.0,84.5,11.3,75.2,80.6,1,8,10,1,Yes
Male,Rural,ECE,No,Yes,High,Low,High,No Issues,No,No,18,9495.0,0.88,76.9,61.6,84.3,92.0,0,7,7,2,No
Female,Rural,Electrical,Partial,No,Low,Medium,Low,No Issues,Both School,No,21,10004.0,21.72,65.4,77.4,80.1,77.2,3,9,6,1,No
Female,Rural,Welding,Partial,No,Medium,Medium,High,No Issues,Mixed,No,15,25226.0,29.12,71.7,75.8,73.4,77.1,1,6,4,2,No
Male,Rural,Welding,Partial,No,Medium,High,Low,Occasional Issues,Both School,No,21,21246.0,8.01,86.2,10.0,54.9,61.3,1,5,5,3,No
Female,Rural,Mechanical,Partial,No,Medium,Medium,Low,No Issues,Both College,No,20,7290.0,10.64,67.1,53.9,38.9,67.1,1,8,6,1,No
Male,Semi-urban,Mechanical,No,Yes,Medium,Medium,Medium,No Issues,Both School,No,21,14281.0,12.7,73.7,60.0,93.7,100.0,1,8,6,2,No
Female,Urban,Mechanical,No,No,High,High,Medium,Occasional Issues,Mixed,No,23,21489.0,22.2,65.5,95.7,41.0,49.0,0,7,9,3,No
Male,Rural,Mechanical,Partial,No,Medium,Medium,High,No Issues,No,Yes,17,3162.0,1.77,89.2,66.0,54.3,66.4,0,7,3,3,Yes
Female,Urban,Mechanical,No,Yes,Medium,Medium,Medium,No Issues,No,No,18,5759.0,14.9,93.5,68.0,57.4,65.1,2,10,7,2,No
Male,Semi-urban,Mechanical,Full,Yes,Medium,High,Low,No Issues,No,No,16,37233.0,0.5,89.2,61.7,53.3,59.1,1,6,10,1,No
Male,Rural,Mechanical,Full,Yes,High,Low,High,Occasional Issues,No,No,21,2455.0,7.53,89.5,72.9,65.7,76.2,3,9,6,3,Yes
Male,Urban,Computer IT,Partial,Yes,Low,High,Medium,Occasional Issues,Mixed,No,24,5202.0,1.4,72.7,25.0,54.4,72.2,0,7,5,1,No
Male,Urban,ECE,Partial,Yes,Medium,High,High,Occasional Issues,Both College,Yes,26,26156.0,6.4,63.3,57.1,77.7,94.0,0,7,3,1,No
Male,Semi-urban,Welding,Partial,No,Medium,Medium,Medium,Occasional Issues,Both School,No,18,40246.0,6.2,82.5,92.2,94.0,100.0,1,6,6,5,No
Male,Urban,Computer IT,Partial,Yes,Medium,Low,Medium,No Issues,Both School,Yes,20,5777.0,24.3,77.3,31.3,81.6,95.3,5,7,3,2,Yes
Male,Urban,Mechanical,Partial,Yes,Medium,High,Low,Occasional Issues,Both School,No,19,27694.0,8.1,64.0,69.4,35.0,48.0,1,5,7,2,No
Male,Semi-urban,Electrical,No,Yes,Medium,High,Medium,No Issues,Both College,No,22,5295.0,0.5,57.0,63.1,54.2,73.4,4,8,10,1,Yes
Male,Urban,Mechanical,No,No,Medium,Medium,Medium,No Issues,Mixed,No,17,26883.0,5.5,57.7,52.8,65.4,80.2,1,6,7,1,No
Male,Urban,Plumbing,No,Yes,Low,Medium,Low,No Issues,Both College,No,20,49589.0,12.0,81.3,10.0,50.5,62.6,1,5,4,3,Yes
Male,Semi-urban,Mechanical,Partial,No,High,Low,Medium,Occasional Issues,Mixed,No,24,11013.0,1.9,70.6,52.5,77.5,88.6,1,9,6,4,No
Male,Semi-urban,Electrical,Partial,Yes,Medium,Medium,High,No Issues,Both College,No,18,38343.0,8.2,79.5,13.2,53.5,70.0,1,4,5,1,No
Female,Semi-urban,Plumbing,No,Yes,High,Medium,Medium,Occasional Issues,Mixed,Yes,17,6085.0,9.3,83.0,46.4,85.2,84.1,1,6,6,4,Yes
Female,Rural,ECE,Partial,No,Low,Low,Medium,No Issues,Mixed,No,21,15281.0,3.43,58.8,51.6,35.0,43.1,6,6,5,1,Yes
Female,Semi-urban,Civil,Full,Yes,High,Low,High,Occasional Issues,Both School,No,16,27760.0,0.5,78.6,58.2,61.0,80.4,4,7,6,1,Yes
Male,Urban,Computer IT,Full,No,Low,High,Medium,Occasional Issues,Both College,No,19,4873.0,9.8,70.9,26.1,40.2,43.1,6,8,5,1,Yes
Female,Urban,ECE,No,No,Medium,High,Medium,Occasional Issues,Both School,No,22,16540.0,6.9,83.2,66.3,66.8,62.3,0,9,6,1,No
Male,Rural,Civil,No,No,Medium,Medium,Low,Occasional Issues,Both School,No,20,17611.0,2.16,84.1,53.3,50.5,51.7,0,10,9,3,No
Male,Semi-urban,Mechanical,No,Yes,Medium,Medium,Low,No Issues,Both School,No,20,22189.0,10.5,80.8,89.3,70.5,55.6,1,10,6,2,No
Female,Rural,Computer IT,Partial,No,Medium,Medium,Low,Frequent Issues,No,No,20,2005.0,10.16,77.2,74.8,45.9,71.2,0,8,6,6,No
Male,Semi-urban,Electrical,Partial,Yes,Medium,High,Medium,No Issues,Both School,No,21,9753.0,0.5,69.7,73.3,72.4,98.6,2,9,8,2,No
Female,Rural,Civil,No,Yes,Low,Medium,Medium,No Issues,Both College,No,26,9719.0,0.68,65.7,75.2,78.1,85.7,0,7,2,1,No
Male,Semi-urban,Civil,No,Yes,Medium,Medium,Medium,Frequent Issues,Both School,No,17,5766.0,4.8,83.1,54.2,48.3,64.3,2,3,7,1,Yes
Male,Urban,Computer IT,Partial,Yes,Low,Low,High,Frequent Issues,Both College,No,16,20697.0,4.8,82.9,11.4,48.1,93.8,1,10,2,1,Yes
Female,Rural,ECE,Full,Yes,High,Medium,Medium,No Issues,No,No,22,4212.0,12.61,76.8,62.1,47.1,43.6,0,8,6,6,No
Female,Urban,Mechanical,Partial,No,Medium,Medium,High,No Issues,Both College,Yes,24,11620.0,5.8,79.3,49.2,59.5,41.0,7,7,2,1,Yes
Male,Rural,ECE,Partial,No,High,Medium,Medium,No Issues,Mixed,No,21,25650.0,2.36,92.7,40.4,60.1,75.6,2,4,8,1,No
Male,Semi-urban,Plumbing,No,Yes,High,Medium,Low,Frequent Issues,Both School,No,20,19397.0,15.8,76.6,84.2,77.0,100.0,1,5,10,1,No
Male,Semi-urban,ECE,Partial,Yes,Low,Low,High,No Issues,Mixed,No,23,15343.0,1.1,66.0,42.7,41.5,63.4,0,7,3,2,Yes
Male,Rural,Electrical,Partial,No,Medium,Medium,High,Frequent Issues,No,No,26,20799.0,6.38,91.4,76.3,62.5,57.0,1,8,4,2,No
Female,Rural,Mechanical,No,Yes,High,Medium,Medium,No Issues,No,No,17,12212.0,13.19,66.5,37.2,50.9,74.9,1,8,8,1,Yes
Male,Urban,Mechanical,Partial,No,High,High,High,Occasional Issues,Mixed,Yes,22,28779.0,13.6,55.9,51.1,42.7,45.5,0,6,3,4,Yes
Male,Semi-urban,Welding,No,Yes,Medium,High,Low,Occasional Issues,Both School,No,19,12509.0,2.7,65.6,59.1,55.4,69.5,3,7,7,4,Yes
Female,Rural,Mechanical,No,No,High,Medium,Medium,No Issues,Mixed,No,21,3232.0,15.59,76.3,86.3,97.0,87.6,0,7,10,2,No
Male,Semi-urban,Welding,Partial,No,Medium,Medium,High,Occasional Issues,Both School,Yes,21,22164.0,17.2,84.1,39.1,61.0,84.8,1,6,5,1,Yes
Male,Rural,Welding,No,Yes,High,Medium,Medium,No Issues,No,No,19,5683.0,6.97,87.4,10.0,80.7,93.3,5,6,10,1,Yes
Female,Semi-urban,Computer IT,No,Yes,Low,Medium,Medium,Occasional Issues,Mixed,Yes,21,9955.0,2.5,81.8,62.5,60.9,69.2,0,10,2,4,Yes
Male,Urban,ECE,Full,No,Medium,High,Medium,No Issues,No,No,21,2000.0,0.5,75.4,53.9,59.5,68.1,1,5,9,1,No
Male,Semi-urban,ECE,No,No,High,Medium,Low,Occasional Issues,Mixed,No,16,10643.0,10.9,74.0,46.0,58.4,88.6,1,7,9,1,No
Male,Urban,Welding,Full,No,High,High,Medium,Occasional Issues,No,No,24,28439.0,8.5,71.4,66.0,35.0,40.0,3,4,10,3,No
Female,Semi-urban,Welding,Partial,Yes,Low,Medium,High,No Issues,Mixed,Yes,21,32460.0,9.6,84.0,66.4,77.0,77.6,0,4,2,3,Yes
Male,Semi-urban,Mechanical,Partial,Yes,Medium,Medium,High,Occasional Issues,Both School,No,20,6564.0,4.8,89.4,76.0,71.1,93.9,0,3,5,1,No
Female,Rural,Welding,Partial,No,High,High,Low,No Issues,Both College,No,17,4087.0,0.71,67.7,79.3,65.0,91.7,0,3,10,8,No
Female,Rural,Electrical,Full,No,Low,High,Medium,No Issues,No,No,20,2589.0,26.0,87.2,35.6,61.2,79.7,0,8,6,2,No
Male,Semi-urban,Civil,No,Yes,High,High,Medium,Occasional Issues,No,No,22,5517.0,4.4,85.4,50.0,82.4,88.3,0,9,10,3,No
Male,Rural,Computer IT,Partial,Yes,Medium,High,Low,No Issues,Both College,No,19,10310.0,29.85,78.2,51.6,60.8,79.1,0,7,8,4,No
Female,Semi-urban,Welding,Full,No,Low,Low,High,Frequent Issues,Both College,No,20,4227.0,0.6,85.9,84.2,62.2,83.0,0,4,3,4,No
Female,Semi-urban,Mechanical,No,Yes,Medium,Medium,High,Frequent Issues,No,Yes,22,4605.0,4.3,93.9,54.2,76.6,85.5,0,5,7,1,Yes
Male,Rural,Electrical,Partial,Yes,Medium,High,Low,Frequent Issues,No,No,18,8068.0,14.56,85.9,22.0,41.8,62.7,2,9,7,1,Yes
Female,Rural,Electrical,Full,No,Medium,Low,Medium,Occasional Issues,Mixed,No,21,5878.0,3.86,80.7,11.3,39.7,59.6,4,9,4,1,Yes
Male,Rural,Welding,No,Yes,Medium,Medium,Medium,No Issues,Mixed,Yes,19,39175.0,13.02,93.7,50.8,76.4,82.2,0,3,3,1,Yes
Male,Rural,Welding,Full,No,High,Medium,Low,No Issues,Both School,No,22,5920.0,1.27,94.9,91.2,79.2,75.4,0,3,9,1,No
Male,Rural,ECE,Full,No,Low,Low,Medium,No Issues,Both College,No,20,5969.0,14.48,86.1,82.0,58.6,73.1,5,4,3,5,Yes
Male,Urban,ECE,Partial,No,Medium,Medium,Medium,Occasional Issues,Both College,No,19,7729.0,26.2,76.6,73.3,75.6,83.4,8,7,7,1,Yes
Female,Rural,Civil,Partial,No,Medium,Medium,Medium,No Issues,No,No,21,20402.0,5.22,87.6,80.5,35.0,40.0,0,3,6,2,No
Male,Rural,Electrical,Partial,Yes,Medium,High,High,Frequent Issues,Mixed,Yes,24,8667.0,24.72,92.8,40.7,40.6,45.2,2,8,5,4,Yes
Female,Urban,ECE,Partial,No,Medium,Medium,Medium,Frequent Issues,Mixed,No,22,36108.0,14.9,88.4,14.5,60.0,96.4,7,7,8,1,Yes
Male,Semi-urban,Plumbing,Partial,No,Medium,Low,Medium,No Issues,Both School,No,23,25374.0,0.5,63.1,70.3,72.9,90.5,0,6,6,2,No
Female,Urban,Plumbing,No,No,Medium,Medium,Low,Frequent Issues,Mixed,No,21,46579.0,5.2,64.7,90.0,82.7,85.9,1,4,6,4,No
Female,Rural,Computer IT,No,Yes,High,Medium,Medium,Frequent Issues,Both College,No,26,11689.0,8.42,55.3,84.4,65.8,88.9,4,6,6,1,Yes
Female,Rural,Computer IT,Partial,No,Low,High,Low,No Issues,Both College,No,22,10679.0,50.0,80.4,65.6,71.8,81.5,0,8,4,1,No
Male,Semi-urban,Mechanical,Full,Yes,Medium,Medium,Low,Frequent Issues,Mixed,No,19,9004.0,15.3,43.6,11.9,71.7,91.3,0,10,8,1,No
Male,Semi-urban,Mechanical,Partial,No,Medium,Medium,Medium,Occasional Issues,Both College,No,26,11493.0,8.9,86.5,90.5,41.0,52.8,6,7,8,1,Yes
Male,Semi-urban,Mechanical,Partial,Yes,High,Medium,Low,Occasional Issues,Both School,No,17,41039.0,5.0,86.7,10.0,35.0,40.0,0,7,8,2,No
Male,Rural,Electrical,Full,Yes,Low,Low,High,Occasional Issues,Both School,No,23,7436.0,6.67,77.2,52.9,77.8,100.0,1,8,5,3,Yes
Male,Urban,Electrical,Partial,No,Medium,Medium,Low,Occasional Issues,No,No,18,7102.0,7.6,65.1,63.4,57.5,59.2,9,4,6,1,Yes
Male,Rural,Electrical,Partial,Yes,Medium,Low,High,No Issues,No,Yes,25,12380.0,3.54,74.6,33.9,59.2,60.0,1,9,3,1,Yes
